Date,Time,WorldPrice,BTMHPrice,HuyThanhPrice
2026-01-08,00:00,13653402.0,,
2026-01-09,00:00,13777978.0,,
2026-01-12,00:00,14127774.0,,
2026-01-13,00:00,14081442.0,,
2026-01-14,00:00,14195278.0,,
2026-01-15,00:00,14164595.0,,
2026-01-16,00:00,14078987.0,,
2026-01-20,00:00,14604295.0,,
2026-01-21,00:00,14825832.0,,
2026-01-22,00:00,15062098.0,,
2026-01-23,00:00,15268908.0,,
2026-01-26,00:00,15586486.0,,
2026-01-27,00:00,15587099.0,,
2026-01-28,00:00,16267361.0,,
2026-01-29,00:00,16318909.0,,
2026-01-30,00:00,14464069.0,,
2026-02-02,00:00,14183619.0,,
2026-02-03,00:00,15046450.0,,
2026-02-04,00:00,15097691.0,,
2026-02-05,00:00,14916657.0,,
2026-02-06,00:00,15192199.0,,
2026-02-09,00:00,15498116.0,,
2026-02-10,00:00,15353595.0,,
2026-02-11,00:00,15561632.0,,
2026-02-12,00:00,15107818.0,,
2026-02-13,00:00,15409440.0,,
2026-02-17,00:00,14982627.0,,
2026-02-18,00:00,15300512.0,,
2026-02-19,00:00,15267987.0,,
2026-02-20,00:00,15523890.0,,
2026-02-23,00:00,15970035.0,,
2026-02-24,00:00,15819989.0,,
2026-02-25,00:00,15975250.0,,
2026-02-26,00:00,15883506.0,,
2026-02-27,00:00,16049198.0,,
2026-03-02,00:00,16245268.0,,
2026-03-03,00:00,15671480.0,,
2026-03-04,00:00,15710756.0,,
2026-03-05,00:00,15542300.0,,
2026-03-06,00:00,15790227.0,,
2026-03-09,00:00,15622693.0,,
2026-03-10,00:00,16046744.0,,
2026-03-11,00:00,15855583.0,,
2026-03-12,00:00,15697254.0,,
2026-03-13,00:00,15503026.0,,
2026-03-16,00:00,15323525.0,,
2026-03-17,00:00,15345004.0,,
2026-03-18,00:00,15004106.0,,
2026-03-19,00:00,14116729.0,,
2026-03-20,00:00,14023756.0,,
2026-03-23,00:00,13513484.0,,
2026-03-24,00:00,13498755.0,,
2026-03-25,00:00,13960547.0,,
2026-03-26,00:00,13425728.0,,
2026-03-27,00:00,13783195.0,,
2026-03-30,00:00,13887520.0,,
2026-03-31,00:00,14260636.0,,
2026-04-01,00:00,14676710.0,,
2026-04-02,00:00,14272602.0,,
2026-04-06,00:00,14288864.0,,
2026-04-07,00:00,14289786.0,,
2026-04-08,00:00,14573304.0,,
2026-04-09,00:00,14704325.0,,
2026-04-10,00:00,14611352.0,,
2026-04-13,00:00,14551518.0,,
2026-04-14,00:00,14804968.0,,
2026-04-15,00:00,14728258.0,,
2026-04-16,00:00,14683459.0,,
2026-04-17,00:00,14904997.0,,
2026-04-20,00:00,14748510.0,,
2026-04-21,00:00,14416509.0,,
2026-04-22,00:00,14521142.0,,
2026-04-23,00:00,14437068.0,,
2026-04-24,00:00,14489844.0,,
2026-04-27,00:00,14345937.0,,
2026-04-28,00:00,14088499.0,,
2026-04-29,00:00,13946433.0,,
2026-04-30,00:00,14159686.0,,
2026-05-01,00:00,14206325.0,,
2026-05-04,00:00,13867575.0,,
2026-05-05,00:00,13978957.0,,
2026-05-06,00:00,14365881.0,,
2026-05-07,00:00,14420805.0,,
2026-05-08,00:00,14484014.0,,
2026-05-11,00:00,14478799.0,,
2026-05-12,00:00,14352688.0,,
2026-05-13,00:00,14414362.0,,
2026-05-14,00:00,14354222.0,,
2026-05-15,00:00,13978957.0,,
2026-05-18,00:00,13968832.0,,
2026-05-19,00:00,13827072.0,,
2026-05-20,00:00,13917589.0,,
2026-05-21,02:59,14475140.0,15900000.0,
2026-05-21,04:53,14465276.0,15900000.0,
2026-05-21,06:02,14442685.0,15900000.0,
2026-05-21,07:22,14466867.0,15900000.0,
2026-05-21,07:39,14462413.0,15900000.0,
